2019.08.07 16:12:32 FATAL TOKYO asdasdasd

2019.08.07 16:28:31 INFO germany tokyo

2019.08.07 16:30:09 INFO germany tokyo

2019.08.07 16:43:47 WARN germany tokyo

2019.08.07 16:55:34 INFO aaa asdad
2019.08.07 16:56:36 WARN germany tokyo
2019.08.07 16:56:47 WARN germany tokyo
2019.08.07 17:00:52 INFO asdasda asdasdsa
2019.08.07 17:01:17 DEBUG istanbul asdasdsa
2019.08.07 17:01:24 DEBUG istanbul asdasdsa
2019.08.07 17:01:37 DEBUG istanbul asdasdsa
2019.08.07 17:04:21 INFO istanbul ismailin+bilgisayari+bozuldu
2019.08.07 17:06:47 INFO istanbul ismailin+bilgisayari+bozuldu
2019.08.07 17:20:53 INFO istanbul server+created
2019.08.07 17:21:05 INFO istanbul server-created
2019.08.07 17:21:11 INFO istanbul server+created
2019.08.07 17:22:27 INFO istanbul server+created
2019.08.07 17:23:30 INFO istanbul server+created
2019.08.07 17:24:02 INFO istanbul server+created
2019.08.07 17:24:31 INFO istanbul server created
